,Loss
445,163.75737
446,167.05142
447,154.75671
448,156.76715
449,155.12581
450,151.12155
451,173.76697
452,142.26817
453,136.6628
454,180.78267
455,152.39731
456,125.06115
457,152.91106
458,126.07149
459,125.70114
460,142.78342
461,124.60127
462,135.43723
463,157.9068
464,125.97314
465,145.67374
466,156.64368
467,162.40826
468,156.28482
469,139.8891
470,140.1914
471,142.47942
472,163.37129
473,136.1871
474,138.72707
475,153.32635
476,147.53345
477,133.40913
478,173.74469
479,167.5314
480,146.30328
481,157.67072
482,160.38516
483,148.11398
484,158.48239
485,147.38893
486,156.03845
487,158.45145
488,146.99127
489,137.1059
490,180.69789
491,170.16412
492,124.50569
493,155.73912
494,154.5352
495,170.52454
496,168.98557
497,159.97171
498,143.09088
499,139.32884
500,155.69794
501,200.81851
502,156.73984
503,207.21149
504,154.3505
505,169.83871
506,170.56793
507,192.56812
508,170.25288
509,174.97687
510,153.7536
511,170.92479
512,173.68607
513,136.06187
514,142.94437
515,163.64662
516,186.12845
517,160.09718
518,155.36324
519,170.4161
520,138.95952
521,144.46242
522,154.45369
523,170.96701
524,154.04189
525,154.96286
526,146.06395
527,159.13934
528,140.98328
529,145.45511
530,161.88202
531,155.4198
532,161.88931
533,147.0582
534,169.35004
535,151.28079
536,162.89073
537,177.35759
538,176.06494
539,173.37006
540,186.42226
541,192.14087
542,173.30435
543,147.88133
544,140.9707
545,150.73749
546,158.57207
547,151.1449
548,149.80629
549,148.20119
550,132.65338
551,152.68634
552,157.55627
553,145.75803
554,144.57806
555,174.76376
556,137.74553
557,160.88199
558,150.30151
559,134.29532
560,151.40353
561,146.6377
562,163.7522
563,131.83371
564,141.80951
565,144.67474
566,121.850586
567,157.21295
568,150.4078
569,161.63928
570,159.8227
571,172.2124
572,152.0562
573,176.02388
574,149.83932
575,139.62758
576,159.69516
577,190.6507
578,170.6154
579,153.32008
580,151.25623
581,149.02763
582,147.98953
583,152.66049
584,137.91556
585,139.42513
586,151.25813
587,159.6637
588,172.11137
589,171.2925
590,169.63333
591,181.49246
592,173.70267
593,165.23514
594,158.18765
595,132.18036
596,190.07225
597,141.29256
598,156.05003
599,178.45659
600,154.70273
601,168.80515
602,130.84706
603,159.54889
604,144.21422
605,169.22792
606,167.57507
607,146.28754
608,145.84338
609,162.74954
610,159.89395
611,153.36804
612,166.72824
613,165.01448
614,147.06284
615,154.89948
616,148.42174
617,171.89902
618,142.7038
619,158.79605
620,153.67862
621,182.01767
622,147.67734
623,162.22635
624,157.43782
625,165.22899
626,149.20917
627,139.49751
628,143.75089
629,140.07207
630,142.95132
631,140.94963
632,160.89758
633,180.33658
634,160.73477
635,146.20587
636,176.67284
637,168.86899
638,174.8751
639,151.71664
640,182.65982
641,167.69629
642,165.12741
643,154.19417
644,176.91708
645,148.05783
646,151.08545
647,196.12448
648,174.53397
649,152.56078
650,161.5653
651,146.6253
652,140.3522
653,162.69772
654,160.9446
655,195.13559
656,167.55511
657,168.99454
658,156.29736
659,148.90764
660,159.82085
661,184.1588
662,165.03436
663,166.87897
664,164.77306
665,168.10632
666,151.27908
667,132.34537
668,117.81554
669,144.78522
670,168.67905
671,172.97736
672,150.66266
673,138.69417
674,159.6517
675,159.21115
676,154.1261
677,153.05965
678,173.2684
679,167.08887
680,172.86736
681,167.01997
682,137.22482
683,169.20853
684,138.74252
685,149.8086
686,152.85452
687,155.41948
688,149.65276
689,152.48015
690,160.70052
691,160.88924
692,167.69727
693,149.30093
694,164.4098
695,186.25941
696,161.10277
697,134.38817
698,140.9461
699,150.90387
700,167.78526
701,159.75716
702,137.58525
703,160.26077
704,135.96677
705,156.19623
706,147.0424
707,162.88164
708,164.11682
709,153.33536
710,165.80952
711,152.50372
712,151.00423
713,156.33978
714,171.68906
715,171.07529
716,151.25296
717,130.14087
718,141.69711
719,130.14786
720,163.57013
721,157.66884
722,157.00357
723,161.20706
724,140.44623
725,159.39894
726,148.53314
727,148.20917
728,190.28896
729,143.93286
730,151.59482
731,175.32774
732,167.24481
733,157.37888
734,152.38687
735,132.81917
736,138.27167
737,140.52267
738,148.581
739,155.05394
740,163.42424
741,143.83781
742,161.50223
743,144.02466
744,150.53616
745,156.72987
746,164.85695
747,155.17624
748,142.6317
749,137.318
750,169.1163
751,167.53482
752,144.53908
753,171.95941
754,140.79498
755,141.9472
756,137.92845
757,154.3201
758,132.59024
759,144.28076
760,127.59067
761,125.75946
762,120.50612
763,148.6502
764,153.76932
765,161.49728
766,144.42108
767,144.6618
768,138.8964
769,152.48979
770,145.75323
771,140.61859
772,148.56525
773,162.89728
774,158.72067
775,146.34009
776,148.3637
777,153.23807
778,143.75482
779,124.79563
780,132.63297
781,153.64532
782,143.30428
783,148.79881
784,139.03647
785,143.31699
786,169.88634
787,131.5543
788,156.24625
789,151.95471
790,128.0636
791,140.9816
792,124.89261
793,126.33281
794,144.53941
795,159.00186
796,137.35721
797,149.17154
798,119.86807
799,123.04683
800,140.94672
801,130.77277
802,142.0173
803,141.7349
804,149.59982
805,125.493416
806,154.36537
807,145.27528
808,140.63705
809,137.97969
810,132.7508
811,143.94783
812,139.31802
813,148.0114
814,126.645905
815,142.51465
816,134.09084
817,114.84949
818,132.66803
819,138.77408
820,143.01474
821,141.467
822,140.65662
823,139.8297
824,126.67874
825,140.61801
826,115.46076
827,129.21588
828,154.31793
829,132.70161
830,134.37663
831,143.71548
832,144.03195
833,150.98343
834,136.6029
835,139.98964
836,152.35696
837,150.5974
838,151.95224
839,143.10876
840,138.83267
841,158.41786
842,184.19412
843,153.173
844,151.9443
845,142.89278
846,143.61848
847,157.69519
848,129.4454
849,158.21463
850,145.50018
851,146.73117
852,156.17496
853,149.03024
854,150.90663
855,140.82205
856,155.71951
857,155.92334
858,139.81027
859,155.57236
860,142.20366
861,171.45343
862,114.55868
863,165.41173
864,148.07089
865,147.57542
866,162.95439
867,143.79964
868,152.7351
869,137.23236
870,156.11798
871,158.10916
872,150.63138
873,152.90302
874,159.58563
875,139.89534
876,137.59802
877,164.0659
878,151.32886
879,166.25333
880,148.54202
881,158.29054
882,145.82408
883,143.44951
884,138.11496
885,139.80444
886,138.21378
887,139.49187
888,120.96101
889,138.06331
890,151.04674
891,151.91235
892,161.15952
893,135.84372
894,139.7536
895,154.7457
896,139.68126
897,121.782745
898,134.99937
899,135.11356
900,136.2452
901,146.71045
902,132.38684
903,135.45882
904,124.14504
905,140.17223
906,131.2844
907,162.47623
